DATE,Two_Yr,Five_Yr,Ten_Yr,Thirty_Yr
1/1/99,4.615263158,4.600526316,4.722105263,5.157894737
2/1/99,4.876315789,4.914736842,4.998947368,5.365263158
3/1/99,5.053043478,5.140434783,5.232608696,5.580434783
4/1/99,4.976818182,5.079545455,5.184545455,5.547727273
5/1/99,5.2545,5.437,5.5395,5.8055
6/1/99,5.618636364,5.809090909,5.899545455,6.041818182
7/1/99,5.554761905,5.678571429,5.791904762,5.983333333
8/1/99,5.678181818,5.841363636,5.939090909,6.068636364
9/1/99,5.661904762,5.801904762,5.915238095,6.071428571
10/1/99,5.8625,6.0335,6.112,6.2635
11/1/99,5.862,5.969,6.034,6.145
12/1/99,6.104545455,6.186363636,6.275454545,6.351363636
1/1/00,6.44,6.5795,6.661,6.6255
2/1/00,6.6105,6.678,6.5195,6.232
3/1/00,6.52826087,6.503913043,6.256521739,6.053478261
4/1/00,6.403684211,6.262631579,5.990526316,5.846315789
5/1/00,6.809545455,6.687727273,6.440454545,6.148636364
6/1/00,6.481818182,6.300909091,6.097272727,5.926363636
7/1/00,6.339,6.179,6.054,5.851
8/1/00,6.228695652,6.060869565,5.826086957,5.716086957
9/1/00,6.0815,5.9345,5.799,5.8265
10/1/00,5.912380952,5.782857143,5.738571429,5.803333333
11/1/00,5.875238095,5.697619048,5.717142857,5.775714286
12/1/00,5.352,5.168,5.2405,5.4905
1/1/01,4.76,4.858571429,5.160952381,5.540952381
2/1/01,4.656842105,4.886315789,5.098947368,5.454736842
3/1/01,4.342272727,4.642727273,4.885454545,5.339545455
4/1/01,4.234,4.7635,5.141,5.646
5/1/01,4.26,4.927727273,5.391363636,5.78
6/1/01,4.08,4.807142857,5.284285714,5.66952381
7/1/01,4.038571429,4.761904762,5.236190476,5.613333333
8/1/01,3.757391304,4.573913043,4.971304348,5.483478261
9/1/01,3.118823529,4.115294118,4.731764706,5.482941176
10/1/01,2.725909091,3.91,4.566818182,5.315454545
11/1/01,2.7825,3.9725,4.6515,5.118
12/1/01,3.107,4.3895,5.0875,5.48
1/1/02,3.028095238,4.34,5.035714286,5.445238095
2/1/02,3.015263158,4.298421053,4.911578947,5.400909091
3/1/02,3.5575,4.738,5.284,
4/1/02,3.422727273,4.646818182,5.210909091,
5/1/02,3.264090909,4.494545455,5.164545455,
6/1/02,2.993,4.186,4.9265,
7/1/02,2.556818182,3.807272727,4.653181818,
8/1/02,2.133636364,3.294545455,4.257272727,
9/1/02,2.0045,2.938,3.87,
10/1/02,1.911818182,2.945,3.940909091,
11/1/02,1.923157895,3.054736842,4.048421053,
12/1/02,1.836190476,3.033333333,4.032380952,
1/1/03,1.743333333,3.052380952,4.048571429,
2/1/03,1.627894737,2.897894737,3.902631579,
3/1/03,1.573809524,2.783809524,3.807142857,
4/1/03,1.622380952,2.928571429,3.958571429,
5/1/03,1.415238095,2.515714286,3.569047619,
6/1/03,1.227142857,2.265714286,3.334285714,
7/1/03,1.474090909,2.872272727,3.975454545,
8/1/03,1.864285714,3.37,4.445238095,
9/1/03,1.706190476,3.184761905,4.274285714,
10/1/03,1.747727273,3.185909091,4.290454545,
11/1/03,1.926666667,3.287222222,4.3,
12/1/03,1.907272727,3.268636364,4.267727273,
1/1/04,1.761,3.1215,4.1505,
2/1/04,1.74,3.067894737,4.084210526,
3/1/04,1.577826087,2.786956522,3.826521739,
4/1/04,2.070952381,3.38952381,4.347619048,
5/1/04,2.5335,3.8505,4.7155,
6/1/04,2.763333333,3.929047619,4.733809524,
7/1/04,2.638571429,3.688571429,4.498095238,
8/1/04,2.508181818,3.474545455,4.281363636,
9/1/04,2.525238095,3.355238095,4.125714286,
10/1/04,2.5845,3.3475,4.097,
11/1/04,2.852,3.525,4.194,
12/1/04,3.011818182,3.598181818,4.230909091,
1/1/05,3.2225,3.707,4.2215,
2/1/05,3.384736842,3.766315789,4.165263158,
3/1/05,3.726818182,4.165454545,4.497727273,
4/1/05,3.653809524,3.998571429,4.340952381,
5/1/05,3.643809524,3.852857143,4.144285714,
6/1/05,3.640454545,3.772272727,3.998181818,
7/1/05,3.871,3.979,4.1775,
8/1/05,4.044347826,4.122173913,4.262608696,
9/1/05,3.946190476,4.006190476,4.199047619,
10/1/05,4.271,4.3285,4.4635,
11/1/05,4.4165,4.4525,4.535,
12/1/05,4.404285714,4.392380952,4.467142857,
1/1/06,4.3955,4.3455,4.416,
2/1/06,4.668421053,4.572105263,4.568947368,4.536923077
3/1/06,4.733913043,4.716086957,4.723913043,4.734347826
4/1/06,4.888947368,4.902105263,4.990526316,5.062631579
5/1/06,4.968181818,4.997727273,5.11,5.201363636
6/1/06,5.121818182,5.067272727,5.106363636,5.154090909
7/1/06,5.1185,5.04,5.0875,5.1345
8/1/06,4.903478261,4.822173913,4.876521739,4.996086957
9/1/06,4.769,4.6675,4.719,4.852
10/1/06,4.795714286,4.686666667,4.729047619,4.854761905
11/1/06,4.74047619,4.582380952,4.595238095,4.685714286
12/1/06,4.6735,4.533,4.5645,4.6825
1/1/07,4.876190476,4.752857143,4.75952381,4.851904762
2/1/07,4.848947368,4.710526316,4.722631579,4.821578947
3/1/07,4.573636364,4.480909091,4.564545455,4.721818182
4/1/07,4.666190476,4.593333333,4.693809524,4.866190476
5/1/07,4.766363636,4.667272727,4.746363636,4.901363636
6/1/07,4.98047619,5.026190476,5.102857143,5.203333333
7/1/07,4.819047619,4.884761905,5.004285714,5.108095238
8/1/07,4.313043478,4.432173913,4.674782609,4.932173913
9/1/07,4.011578947,4.198947368,4.521578947,4.793157895
10/1/07,3.967727273,4.198181818,4.527727273,4.773636364
11/1/07,3.3365,3.667,4.1485,4.52
12/1/07,3.117,3.4875,4.0975,4.527
1/1/08,2.475714286,2.98047619,3.744285714,4.33047619
2/1/08,1.973,2.779,3.7375,4.517
3/1/08,1.617,2.4835,3.51,4.393
4/1/08,2.047272727,2.841363636,3.675,4.443181818
5/1/08,2.445714286,3.153333333,3.88,4.596190476
6/1/08,2.773809524,3.485238095,4.09952381,4.689047619
7/1/08,2.573181818,3.303181818,4.007727273,4.570909091
8/1/08,2.42047619,3.141904762,3.885714286,4.501904762
9/1/08,2.076190476,2.884285714,3.686190476,4.269047619
10/1/08,1.612272727,2.726363636,3.814090909,4.173181818
11/1/08,1.212777778,2.291666667,3.526666667,4.004444444
12/1/08,0.820909091,1.521818182,2.416363636,2.87
1/1/09,0.807,1.5965,2.5175,3.128
2/1/09,0.975263158,1.871578947,2.87,3.586842105
3/1/09,0.931363636,1.815909091,2.819545455,3.643181818
4/1/09,0.927142857,1.858095238,2.927142857,3.76
5/1/09,0.9295,2.134,3.293,4.227
6/1/09,1.184090909,2.705909091,3.721818182,4.516363636
7/1/09,1.019090909,2.462727273,3.562272727,4.406818182
8/1/09,1.115238095,2.570952381,3.587142857,4.370952381
9/1/09,0.956190476,2.369047619,3.401904762,4.185714286
10/1/09,0.949047619,2.332857143,3.387619048,4.188571429
11/1/09,0.803157895,2.230526316,3.402631579,4.314736842
12/1/09,0.874545455,2.340454545,3.59,4.493636364
1/1/10,0.928947368,2.484210526,3.733157895,4.604736842
2/1/10,0.856842105,2.363684211,3.691052632,4.619473684
3/1/10,0.958695652,2.433043478,3.727391304,4.644782609
4/1/10,1.060454545,2.581363636,3.846818182,4.693181818
5/1/10,0.8305,2.18,3.42,4.286
6/1/10,0.724545455,1.996363636,3.204090909,4.127727273
7/1/10,0.616666667,1.762857143,3.011428571,3.994285714
