Date,Adj Close,Total Monthly Return
1/31/99,13.418863,1.55%
2/28/99,13.627445,1.46%
3/31/99,13.826097,25.13%
4/30/99,17.300879,-9.10%
5/31/99,15.726262,5.45%
6/30/99,16.583334,-0.83%
7/31/99,16.44511,-4.50%
8/31/99,15.70534,-3.44%
9/30/99,15.165487,2.69%
10/31/99,15.573797,-1.42%
11/30/99,15.35319,11.10%
12/31/99,17.05797,-11.86%
1/31/00,15.035069,-10.05%
2/29/00,13.524523,9.83%
3/31/00,14.853812,-3.09%
4/30/00,14.394426,-3.16%
5/31/00,13.940183,-8.98%
6/30/00,12.688495,1.35%
7/31/00,12.859699,2.29%
8/31/00,13.153803,-10.33%
9/30/00,11.794822,9.41%
10/31/00,12.904852,-2.53%
11/30/00,12.578409,11.19%
12/31/00,13.986217,-0.13%
1/31/01,13.967475,1.29%
2/28/01,14.148343,-5.45%
3/31/01,13.377952,11.18%
4/30/01,14.873276,3.85%
5/31/01,15.445335,-3.88%
6/30/01,14.846358,0.17%
7/31/01,14.871707,-0.41%
8/31/01,14.810863,-12.37%
9/30/01,12.978941,3.32%
10/31/01,13.410214,12.68%
11/30/01,15.110294,-3.60%
12/31/01,14.566273,2.98%
1/31/02,14.999903,5.29%
2/28/02,15.793689,2.73%
3/31/02,16.224808,-4.40%
4/30/02,15.510374,4.96%
5/31/02,16.279373,-2.19%
6/30/02,15.922335,-10.90%
7/31/02,14.187288,-0.53%
8/31/02,14.111389,-13.50%
9/30/02,12.206866,6.34%
10/31/02,12.980948,12.03%
11/30/02,14.542824,-5.30%
12/31/02,13.772298,-4.27%
1/31/03,13.184285,-2.65%
2/28/03,12.834571,0.16%
3/31/03,12.855554,9.53%
4/30/03,14.080142,3.09%
5/31/03,14.515756,0.34%
6/30/03,14.564928,8.47%
7/31/03,15.7984,2.77%
8/31/03,16.23646,-5.00%
9/30/03,15.423926,10.10%
10/31/03,16.98246,2.26%
11/30/03,17.366005,9.16%
12/31/03,18.957003,-3.86%
1/31/04,18.225357,5.21%
2/29/04,19.175566,-2.65%
3/31/04,18.66831,-4.30%
4/30/04,17.865925,2.81%
5/31/04,18.367775,4.53%
6/30/04,19.199419,-1.82%
7/31/04,18.85,1.68%
8/31/04,19.166931,3.53%
9/30/04,19.844002,-0.48%
10/31/04,19.749084,8.13%
11/30/04,21.355646,0.75%
12/31/04,21.514847,-2.49%
1/31/05,20.97879,7.88%
2/28/05,22.631186,-2.99%
3/31/05,21.954206,-6.81%
4/30/05,20.459255,-0.64%
5/31/05,20.327782,-2.48%
6/30/05,19.82379,6.04%
7/31/05,21.021887,-4.19%
8/31/05,20.141079,0.22%
9/30/05,20.185118,0.77%
10/31/05,20.340418,7.66%
11/30/05,21.897678,2.06%
12/31/05,22.347891,5.65%
1/31/06,23.610239,-2.14%
2/28/06,23.104408,4.15%
3/31/06,24.063997,4.06%
4/30/06,25.041597,-4.03%
5/31/06,24.032454,-0.16%
6/30/06,23.995079,-3.09%
7/31/06,23.253431,3.01%
8/31/06,23.953302,-0.60%
9/30/06,23.810326,6.63%
10/31/06,25.388195,4.35%
11/30/06,26.493351,-0.46%
12/31/06,26.372232,5.19%
1/31/07,27.739687,2.68%
2/28/07,28.481956,2.23%
3/31/07,29.117107,1.63%
4/30/07,29.591206,5.90%
5/31/07,31.338184,-0.98%
6/30/07,31.031691,-2.23%
7/31/07,30.340269,-0.68%
8/31/07,30.132454,7.56%
9/30/07,32.410675,4.63%
10/31/07,33.912331,-5.04%
11/30/07,32.203575,0.12%
12/31/07,32.242214,-3.29%
1/31/08,31.182915,2.30%
2/29/08,31.901016,-1.71%
3/31/08,31.35463,5.66%
4/30/08,33.128124,5.20%
5/31/08,34.850693,-6.25%
6/30/08,32.673992,-2.79%
7/31/08,31.761782,-1.56%
8/31/08,31.266245,-15.97%
9/30/08,26.271511,-21.94%
10/31/08,20.508621,-10.69%
11/30/08,18.316923,-1.77%
12/31/08,17.992519,-6.26%
1/31/09,16.866024,-8.02%
2/28/09,15.512579,14.66%
3/31/09,17.787004,16.28%
4/30/09,20.68306,5.84%
5/31/09,21.891653,-5.04%
6/30/09,20.787798,13.47%
7/31/09,23.587633,2.37%
8/31/09,24.14654,3.79%
9/30/09,25.061855,-4.78%
10/31/09,23.864529,10.77%
11/30/09,26.434799,1.51%
12/31/09,26.833361,-8.13%
1/31/10,24.650772,4.51%
2/28/10,25.763084,7.68%
3/31/10,27.742338,0.42%
4/30/10,27.859915,-9.53%
5/31/10,25.204243,-7.74%
6/30/10,23.253477,13.33%
7/31/10,26.352951,-3.03%
8/31/10,25.55438,5.61%
9/30/10,26.986874,8.32%
10/31/10,29.232967,1.12%
11/30/10,29.560574,9.15%
12/31/10,32.265465,0.89%
1/31/11,32.553211,2.65%
2/28/11,33.416996,1.42%
3/31/11,33.891247,2.46%
4/30/11,34.725372,-2.74%
5/31/11,33.773762,-0.96%
6/30/11,33.450897,-2.91%
7/31/11,32.476036,-7.02%
8/31/11,30.194771,-16.92%
9/30/11,25.085405,17.96%
10/31/11,29.590904,0.20%
11/30/11,29.651016,-2.95%
12/31/11,28.774889,11.76%
1/31/12,32.158115,-0.56%
2/29/12,31.976482,0.00%
3/31/12,31.976482,-0.43%
4/30/12,31.837784,-7.77%
5/31/12,29.363346,4.35%
6/30/12,30.639635,-0.74%
7/31/12,30.412863,2.32%
8/31/12,31.119938,3.23%
9/30/12,32.12381,-1.58%
10/31/12,31.616386,1.86%
11/30/12,32.204323,2.29%
12/31/12,32.941414,4.86%
1/31/13,34.542805,-1.36%
2/28/13,34.07362,1.79%
3/31/13,34.684448,1.36%
4/30/13,35.156197,1.90%
5/31/13,35.82288,-4.84%
6/30/13,34.089516,6.36%
7/31/13,36.258385,-0.12%
8/31/13,36.213589,3.91%
9/30/13,37.628819,4.71%
10/31/13,39.402058,1.30%
11/30/13,39.915184,4.24%
12/31/13,41.607567,-4.12%
1/31/14,39.894699,6.90%
2/28/14,42.64856,0.42%
3/31/14,42.829723,1.23%
4/30/14,43.355103,2.96%
5/31/14,44.637482,1.14%
6/30/14,45.146786,-1.53%
7/31/14,44.453941,3.86%
8/31/14,46.171772,-1.86%
9/30/14,45.312866,-1.95%
10/31/14,44.430504,1.57%
11/30/14,45.128166,-1.18%
12/31/14,44.595737,-1.21%
1/31/15,44.05423,7.97%
2/28/15,47.564522,-5.26%
3/31/15,45.061134,3.75%
4/30/15,46.75209,0.38%
5/31/15,46.928265,-4.39%
6/30/15,44.869762,-4.61%
7/31/15,42.801697,-5.59%
8/31/15,40.407776,-7.91%
9/30/15,37.212788,13.97%
10/31/15,42.412067,0.99%
11/30/15,42.833561,-5.05%
12/31/15,40.669872,-10.04%
1/31/16,36.586452,7.82%
2/29/16,39.445805,7.20%
3/31/16,42.286278,5.48%
4/30/16,44.60191,-0.34%
5/31/16,44.450401,-1.28%
6/30/16,43.882217,5.60%
7/31/16,46.338459,-0.27%
8/31/16,46.214741,-1.67%
9/30/16,45.443863,-1.59%
10/31/16,44.721699,6.82%
11/30/16,47.773293,-0.48%
12/31/16,47.543713,5.24%
1/31/17,50.034012,0.56%
2/28/17,50.313255,0.31%
3/31/17,50.467327,1.58%
4/30/17,51.263672,0.02%
5/31/17,51.273335,1.38%
6/30/17,51.978489,2.02%
7/31/17,53.027515,0.79%
8/31/17,53.444828,3.14%
9/30/17,55.123768,4.43%
10/31/17,57.567261,0.95%
11/30/17,58.113667,1.63%
12/31/17,59.060108,4.51%
1/31/18,61.722534,-5.27%
2/28/18,58.46727,-4.51%
3/31/18,55.82972,0.51%
4/30/18,56.111916,2.05%
5/31/18,57.263489,-0.19%
6/30/18,57.15522,3.34%
7/31/18,59.062737,-0.77%
8/31/18,58.607872,-2.26%
9/30/18,57.282845,-8.75%
10/31/18,52.269997,3.80%
11/30/18,54.257072,-7.49%
12/31/18,50.193504,6.29%
