Date,Adj Close,Total Monthly Return
1/31/99,14.890138,-0.86%
2/28/99,14.762147,13.73%
3/31/99,16.788733,15.22%
4/30/99,19.343283,-2.16%
5/31/99,18.925797,1.53%
6/30/99,19.214823,2.41%
7/31/99,19.677944,1.09%
8/31/99,19.893127,-5.03%
9/30/99,18.892553,-1.03%
10/31/99,18.697239,-0.17%
11/30/99,18.66481,0.41%
12/31/99,18.740467,1.10%
1/31/00,18.947489,-4.23%
2/29/00,18.14537,12.07%
3/31/00,20.334951,-1.16%
4/30/00,20.098558,11.74%
5/31/00,22.458612,-5.96%
6/30/00,21.120882,-3.35%
7/31/00,20.414328,10.92%
8/31/00,22.643726,1.21%
9/30/00,22.916935,-2.30%
10/31/00,22.390396,-5.25%
11/30/00,21.215994,9.88%
12/31/00,23.312359,-2.90%
1/31/01,22.636992,-1.21%
2/28/01,22.362226,-3.28%
3/31/01,21.629501,10.66%
4/30/01,23.935272,-0.94%
5/31/01,23.709129,-9.54%
6/30/01,21.447758,-0.69%
7/31/01,21.299994,-4.23%
8/31/01,20.398294,-10.13%
9/30/01,18.332193,4.61%
10/31/01,19.177856,-5.58%
11/30/01,18.106863,5.28%
12/31/01,19.063616,-3.16%
1/31/02,18.461081,3.42%
2/28/02,19.091982,8.49%
3/31/02,20.712263,-3.27%
4/30/02,20.033962,-1.76%
5/31/02,19.68149,-4.24%
6/30/02,18.847036,-13.34%
7/31/02,16.333628,1.51%
8/31/02,16.579693,-7.64%
9/30/02,15.313235,2.40%
10/31/02,15.680408,4.13%
11/30/02,16.328001,-0.49%
12/31/02,16.247965,-2.01%
1/31/03,15.921507,2.94%
2/28/03,16.389574,-0.40%
3/31/03,16.323755,-0.33%
4/30/03,16.269905,10.62%
5/31/03,17.997614,-1.76%
6/30/03,17.681479,-3.07%
7/31/03,17.138569,6.38%
8/31/03,18.231895,-2.55%
9/30/03,17.766497,1.46%
10/31/03,18.026714,0.78%
11/30/03,18.167793,12.59%
12/31/03,20.454535,2.71%
1/31/04,21.00877,5.25%
2/29/04,22.112532,-1.05%
3/31/04,21.881344,2.14%
4/30/04,22.348785,-0.30%
5/31/04,22.28138,5.82%
6/30/04,23.577065,3.49%
7/31/04,24.400343,-1.54%
8/31/04,24.024374,9.33%
9/30/04,26.265146,1.00%
10/31/04,26.528402,6.74%
11/30/04,28.317602,-3.17%
12/31/04,27.419231,3.76%
1/31/05,28.450785,16.78%
2/28/05,33.224148,-2.23%
3/31/05,32.481625,-5.10%
4/30/05,30.826118,2.79%
5/31/05,31.685144,6.65%
6/30/05,33.790894,7.42%
7/31/05,36.298634,6.39%
8/31/05,38.616875,5.98%
9/30/05,40.927479,-8.78%
10/31/05,37.335419,1.50%
11/30/05,37.893677,1.53%
12/31/05,38.474899,14.91%
1/31/06,44.211266,-9.23%
2/28/06,40.132107,3.94%
3/31/06,41.711636,5.35%
4/30/06,43.94236,-2.78%
5/31/06,42.719604,2.16%
6/30/06,43.642433,3.73%
7/31/06,45.270485,-5.08%
8/31/06,42.970295,-3.99%
9/30/06,41.256737,4.62%
10/31/06,43.163952,8.58%
11/30/06,46.86615,-3.11%
12/31/06,45.410057,-0.62%
1/31/07,45.126282,-2.05%
2/28/07,44.201843,5.94%
3/31/07,46.827564,5.47%
4/30/07,49.389458,7.78%
5/31/07,53.231819,1.01%
6/30/07,53.769608,0.30%
7/31/07,53.933552,1.20%
8/31/07,54.582306,7.12%
9/30/07,58.46711,2.81%
10/31/07,60.109966,-4.21%
11/30/07,57.578621,8.00%
12/31/07,62.186779,-12.06%
1/31/08,54.686081,9.27%
2/29/08,59.753994,-2.62%
3/31/08,58.190407,10.70%
4/30/08,64.417542,5.20%
5/31/08,67.766487,2.88%
6/30/08,69.720665,-15.69%
7/31/08,58.780712,0.34%
8/31/08,58.978218,-15.20%
9/30/08,50.011013,-18.54%
10/31/08,40.740204,-2.18%
11/30/08,39.852486,-4.99%
12/31/08,37.863026,-1.27%
1/31/09,37.382229,-12.34%
2/28/09,32.769211,3.23%
3/31/09,33.82885,8.37%
4/30/09,36.661423,12.89%
5/31/09,41.386257,-7.02%
6/30/09,38.479286,5.89%
7/31/09,40.744537,1.09%
8/31/09,41.187241,5.37%
9/30/09,43.400734,2.92%
10/31/09,44.668831,2.84%
11/30/09,45.938156,0.33%
12/31/09,46.091766,-3.88%
1/31/10,44.302277,3.01%
2/28/10,45.63541,2.46%
3/31/10,46.757195,4.52%
4/30/10,48.870518,-11.45%
5/31/10,43.274593,-6.35%
6/30/10,40.525589,8.87%
7/31/10,44.119274,-4.90%
8/31/10,41.955917,9.49%
9/30/10,45.938454,6.16%
10/31/10,48.767487,5.86%
11/30/10,51.624065,8.83%
12/31/10,56.184689,7.66%
1/31/11,60.48632,7.37%
2/28/11,64.943222,1.54%
3/31/11,65.943748,1.26%
