Date,Adj Close,Total Monthly Return
1/31/99,9.928497,1.57%
2/28/99,10.084649,2.97%
3/31/99,10.383956,7.30%
4/30/99,11.142159,-6.03%
5/31/99,10.470222,4.05%
6/30/99,10.894236,-5.85%
7/31/99,10.257254,-4.40%
8/31/99,9.805852,-5.54%
9/30/99,9.262925,15.92%
10/31/99,10.737874,-4.40%
11/30/99,10.265305,-2.75%
12/31/99,9.983063,-2.60%
1/31/00,9.723277,-10.70%
2/29/00,8.682419,17.83%
3/31/00,10.230516,1.34%
4/30/00,10.36724,2.23%
5/31/00,10.598618,-5.18%
6/30/00,10.049873,9.19%
7/31/00,10.973609,10.16%
8/31/00,12.088226,1.87%
9/30/00,12.313822,-0.56%
10/31/00,12.244568,-5.11%
11/30/00,11.619008,8.13%
12/31/00,12.563993,0.13%
1/31/01,12.580535,-6.73%
2/28/01,11.734136,-3.32%
3/31/01,11.345139,3.96%
4/30/01,11.794406,4.40%
5/31/01,12.31336,-1.08%
6/30/01,12.180407,-0.59%
7/31/01,12.109015,-6.61%
8/31/01,11.30835,-6.05%
9/30/01,10.623906,-0.98%
10/31/01,10.519837,6.49%
11/30/01,11.203,1.51%
12/31/01,11.371633,-0.71%
1/31/02,11.290931,-1.73%
2/28/02,11.095514,6.26%
3/31/02,11.790334,-2.22%
4/30/02,11.528956,-0.30%
5/31/02,11.494098,-4.70%
6/30/02,10.953815,-7.91%
7/31/02,10.08778,1.87%
8/31/02,10.275968,-11.97%
9/30/02,9.046177,9.73%
10/31/02,9.926497,3.72%
11/30/02,10.296103,-5.98%
12/31/02,9.680099,-0.68%
1/31/03,9.614233,-3.08%
2/28/03,9.317662,-1.38%
3/31/03,9.189295,13.08%
4/30/03,10.391109,5.09%
5/31/03,10.920228,-0.04%
6/30/03,10.915782,4.84%
7/31/03,11.444449,-1.17%
8/31/03,11.31044,0.36%
9/30/03,11.350642,7.49%
10/31/03,12.201076,-0.37%
11/30/03,12.15617,3.92%
12/31/03,12.632178,3.89%
1/31/04,13.123127,2.86%
2/29/04,13.498082,-1.61%
3/31/04,13.28124,-3.92%
4/30/04,12.760459,1.71%
5/31/04,12.978277,-0.07%
6/30/04,12.969205,-1.63%
7/31/04,12.757451,3.25%
8/31/04,13.172508,-1.45%
9/30/04,12.980947,1.07%
10/31/04,13.120062,3.11%
11/30/04,13.528203,3.49%
12/31/04,14.00055,-1.55%
1/31/05,13.78297,-0.67%
2/28/05,13.690682,-4.31%
3/31/05,13.10005,0.71%
4/30/05,13.192982,2.95%
5/31/05,13.582647,0.65%
6/30/05,13.670788,2.16%
7/31/05,13.966607,-1.64%
8/31/05,13.737955,0.27%
9/30/05,13.775285,3.65%
10/31/05,14.277947,4.77%
11/30/05,14.958522,-0.63%
12/31/05,14.864647,1.54%
1/31/06,15.093843,2.13%
2/28/06,15.415093,-0.25%
3/31/06,15.377298,4.89%
4/30/06,16.129461,-3.77%
5/31/06,15.521515,-1.04%
6/30/06,15.360029,2.89%
7/31/06,15.80324,1.18%
8/31/06,15.989555,3.44%
9/30/06,16.538948,2.92%
10/31/06,17.022366,0.71%
11/30/06,17.142471,2.97%
12/31/06,17.651751,1.70%
1/31/07,17.952219,-3.05%
2/28/07,17.405134,-0.89%
3/31/07,17.2502,4.31%
4/30/07,17.993771,2.40%
5/31/07,18.426481,-4.54%
6/30/07,17.590235,-8.57%
7/31/07,16.082987,2.58%
8/31/07,16.498508,1.69%
9/30/07,16.777147,-0.99%
10/31/07,16.610733,-8.09%
11/30/07,15.266307,-6.68%
12/31/07,14.246912,1.64%
1/31/08,14.481071,-11.36%
2/29/08,12.836174,-3.72%
3/31/08,12.359103,7.86%
4/30/08,13.330433,-6.95%
5/31/08,12.403664,-18.17%
6/30/08,10.149364,7.71%
7/31/08,10.931694,-0.97%
8/31/08,10.825561,-7.14%
9/30/08,10.052302,-21.17%
10/31/08,7.924025,-18.48%
11/30/08,6.459637,-1.11%
12/31/08,6.388203,-25.10%
1/31/09,4.785007,-17.75%
2/28/09,3.935721,15.92%
3/31/09,4.562326,23.02%
4/30/09,5.612348,13.98%
5/31/09,6.396927,-2.29%
6/30/09,6.250473,9.43%
7/31/09,6.839997,12.99%
8/31/09,7.728515,1.63%
9/30/09,7.854692,-5.67%
10/31/09,7.40967,4.34%
11/30/09,7.731374,-1.77%
12/31/09,7.594255,-1.16%
1/31/10,7.505991,3.53%
2/28/10,7.770658,8.65%
3/31/10,8.442914,1.55%
4/30/10,8.573573,-9.16%
5/31/10,7.788368,-5.93%
6/30/10,7.326794,6.74%
7/31/10,7.820684,-7.82%
8/31/10,7.209279,5.83%
9/30/10,7.62929,1.69%
10/31/10,7.758332,-0.69%
11/30/10,7.705047,10.30%
12/31/10,8.498996,3.19%
1/31/11,8.770466,2.74%
2/28/11,9.01112,-2.73%
3/31/11,8.765117,0.20%
4/30/11,8.782696,-3.30%
5/31/11,8.493156,-3.09%
6/30/11,8.230427,-3.24%
7/31/11,7.964022,-9.59%
8/31/11,7.199908,-11.73%
9/30/11,6.355076,14.75%
10/31/11,7.292704,-5.11%
11/30/11,6.919966,1.48%
12/31/11,7.022605,8.85%
1/31/12,7.643867,4.98%
2/29/12,8.024429,7.05%
3/31/12,8.589837,-2.03%
4/30/12,8.415466,-9.20%
5/31/12,7.641006,4.50%
6/30/12,7.984605,0.62%
7/31/12,8.033957,3.41%
8/31/12,8.307968,2.84%
9/30/12,8.543616,2.41%
10/31/12,8.749702,-0.88%
11/30/12,8.672663,4.00%
12/31/12,9.019349,6.70%
1/31/13,9.624076,1.21%
2/28/13,9.740359,3.52%
3/31/13,10.083683,3.04%
4/30/13,10.389932,6.10%
5/31/13,11.023331,-1.97%
6/30/13,10.806643,5.77%
7/31/13,11.430366,-5.12%
8/31/13,10.844624,2.42%
9/30/13,11.106811,3.81%
10/31/13,11.530449,4.42%
11/30/13,12.040544,1.77%
12/31/13,12.253553,-3.10%
1/31/14,11.873626,3.04%
2/28/14,12.234456,2.95%
3/31/14,12.595288,-1.25%
4/30/14,12.437473,1.50%
5/31/14,12.624375,2.02%
6/30/14,12.87924,-0.97%
7/31/14,12.753966,4.24%
8/31/14,13.294627,-0.81%
9/30/14,13.186497,3.42%
10/31/14,13.637156,25.89%
11/30/14,17.167585,2.34%
12/31/14,17.568966,-5.66%
1/31/15,16.574251,-15.43%
2/28/15,14.016665,-0.99%
3/31/15,13.878515,23.66%
4/30/15,17.162777,-17.11%
5/31/15,14.225495,24.45%
6/30/15,17.703781,1.91%
7/31/15,18.042622,-11.42%
8/31/15,15.981424,1.43%
9/30/15,16.210449,6.96%
10/31/15,17.338186,-17.15%
11/30/15,14.365392,-2.97%
12/31/15,13.938406,-8.15%
1/31/16,12.802272,-2.90%
2/29/16,12.430937,6.69%
3/31/16,13.262027,4.30%
4/30/16,13.832001,1.89%
5/31/16,14.093093,-3.75%
6/30/16,13.564975,4.14%
7/31/16,14.126318,3.85%
8/31/16,14.669868,-3.26%
9/30/16,14.191007,33.74%
10/31/16,18.979481,14.03%
11/30/16,21.642763,3.29%
12/31/16,22.354254,0.71%
1/31/17,22.513475,5.28%
2/28/17,23.701447,-3.30%
3/31/17,22.919121,-0.49%
4/30/17,22.80695,-1.19%
5/31/17,22.535555,6.11%
6/30/17,23.911919,2.09%
7/31/17,24.412024,-1.55%
8/31/17,24.03256,4.70%
9/30/17,25.161215,3.29%
10/31/17,25.989157,3.46%
11/30/17,26.888033,1.42%
12/31/17,27.269072,7.05%
1/31/18,29.191994,-2.93%
2/28/18,28.338024,-4.50%
3/31/18,27.061977,-0.07%
4/30/18,27.042271,-0.98%
5/31/18,26.776281,-2.17%
6/30/18,26.195044,5.57%
7/31/18,27.654123,1.36%
8/31/18,28.030098,-2.65%
9/30/18,27.288038,-4.29%
10/31/18,26.117155,2.63%
11/30/18,26.802877,-11.68%
12/31/18,23.672398,9.58%
