Date,Adj Close,Total Monthly Return
1/31/99,16.979313,0.90%
2/28/99,17.132208,1.72%
3/31/99,17.42705,15.47%
4/30/99,20.122478,-1.96%
5/31/99,19.727928,6.00%
6/30/99,20.911589,-3.55%
7/31/99,20.170046,0.82%
8/31/99,20.334677,-0.70%
9/30/99,20.192022,-1.99%
10/31/99,19.790047,-2.22%
11/30/99,19.350262,7.67%
12/31/99,20.834461,-7.82%
1/31/00,19.206165,-5.52%
2/29/00,18.146511,13.69%
3/31/00,20.630047,1.65%
4/30/00,20.971273,-0.42%
5/31/00,20.882778,-4.13%
6/30/00,20.020004,1.76%
7/31/00,20.371738,9.90%
8/31/00,22.389009,-3.17%
9/30/00,21.679647,2.53%
10/31/00,22.227793,-3.40%
11/30/00,21.472052,3.52%
12/31/00,22.227793,0.80%
1/31/01,22.406038,-5.99%
2/28/01,21.06324,-9.83%
3/31/01,18.991917,11.75%
4/30/01,21.223528,4.18%
5/31/01,22.111721,-6.38%
6/30/01,20.700634,0.01%
7/31/01,20.702417,-3.43%
8/31/01,19.991758,-15.01%
9/30/01,16.991194,2.20%
10/31/01,17.365343,10.00%
11/30/01,19.102602,4.53%
12/31/01,19.967627,-6.32%
1/31/02,18.706137,2.50%
2/28/02,19.174683,2.41%
3/31/02,19.63603,-6.63%
4/30/02,18.33427,0.43%
5/31/02,18.413799,-6.36%
6/30/02,17.242599,-5.43%
7/31/02,16.306095,-1.56%
8/31/02,16.052456,-11.87%
9/30/02,14.146447,5.32%
10/31/02,14.898385,5.22%
11/30/02,15.676763,-4.45%
12/31/02,14.978403,-4.87%
1/31/03,14.249048,-1.54%
2/28/03,14.029605,0.68%
3/31/03,14.124696,11.25%
4/30/03,15.713304,2.71%
5/31/03,16.139168,1.87%
6/30/03,16.44022,3.53%
7/31/03,17.020807,3.89%
8/31/03,17.6831,-3.08%
9/30/03,17.138544,6.56%
10/31/03,18.262823,1.98%
11/30/03,18.624683,6.11%
12/31/03,19.761953,1.51%
1/31/04,20.059425,-0.74%
2/29/04,19.910999,-1.57%
3/31/04,19.599302,0.31%
4/30/04,19.659994,2.46%
5/31/04,20.144041,5.95%
6/30/04,21.343002,-2.59%
7/31/04,20.790432,0.07%
8/31/04,20.805355,1.79%
9/30/04,21.178484,1.38%
10/31/04,21.469788,6.28%
11/30/04,22.817743,1.97%
12/31/04,23.267054,-2.31%
1/31/05,22.729513,1.16%
2/28/05,22.992943,-0.39%
3/31/05,22.902624,-3.31%
4/30/05,22.144505,3.17%
5/31/05,22.846914,-2.88%
6/30/05,22.189827,4.07%
7/31/05,23.093102,-2.36%
8/31/05,22.547947,1.28%
9/30/05,22.83567,-1.04%
10/31/05,22.598921,5.82%
11/30/05,23.913961,-0.13%
12/31/05,23.883551,0.89%
1/31/06,24.095896,3.11%
2/28/06,24.845303,4.03%
3/31/06,25.847076,2.54%
4/30/06,26.504519,-1.71%
5/31/06,26.051651,-0.38%
6/30/06,25.951866,-5.44%
7/31/06,24.540649,1.13%
8/31/06,24.817688,3.38%
9/30/06,25.656488,3.26%
10/31/06,26.491659,2.45%
11/30/06,27.14081,-0.31%
12/31/06,27.055809,2.91%
