Date,Adj Close,Total Monthly Return
1/31/99,17.134813,-1.05%
2/28/99,16.954971,-0.29%
3/31/99,16.905014,-3.32%
4/30/99,16.344337,-1.04%
5/31/99,16.174202,1.36%
6/30/99,16.394392,-3.34%
7/31/99,15.846848,1.71%
8/31/99,16.118164,-9.23%
9/30/99,14.63095,9.38%
10/31/99,16.003639,0.31%
11/30/99,16.053995,-7.53%
12/31/99,14.845415,1.18%
1/31/00,15.020095,-11.70%
2/29/00,13.262528,3.43%
3/31/00,13.717076,5.64%
4/30/00,14.490713,7.13%
5/31/00,15.524323,5.42%
6/30/00,16.365391,-3.43%
7/31/00,15.803941,-1.22%
8/31/00,15.610951,4.03%
9/30/00,16.240683,7.35%
10/31/00,17.434141,3.45%
11/30/00,18.035681,3.34%
12/31/00,18.637213,-7.02%
1/31/01,17.328913,0.60%
2/28/01,17.43362,-7.21%
3/31/01,16.177143,2.24%
4/30/01,16.53952,1.47%
5/31/01,16.782358,-4.93%
6/30/01,15.955389,3.37%
7/31/01,16.493349,0.48%
8/31/01,16.572363,-0.44%
9/30/01,16.499943,-0.32%
10/31/01,16.446711,4.42%
11/30/01,17.173267,-2.31%
12/31/01,16.776958,-0.32%
1/31/02,16.723488,2.10%
2/28/02,17.074793,1.32%
3/31/02,17.300163,-3.44%
4/30/02,16.705341,-1.11%
5/31/02,16.519211,-10.46%
6/30/02,14.790839,-3.98%
7/31/02,14.202464,0.80%
8/31/02,14.315822,-7.82%
9/30/02,13.195627,4.56%
10/31/02,13.797765,-2.77%
11/30/02,13.415244,-0.25%
12/31/02,13.38168,-2.89%
1/31/03,12.994318,-3.06%
2/28/03,12.596257,-0.54%
3/31/03,12.528787,3.53%
4/30/03,12.970869,4.92%
5/31/03,13.608558,0.50%
6/30/03,13.676398,0.30%
7/31/03,13.717973,1.69%
8/31/03,13.949664,-0.73%
9/30/03,13.847446,4.89%
10/31/03,14.523912,1.18%
11/30/03,14.694853,1.35%
12/31/03,14.893164,0.42%
1/31/04,14.956264,5.69%
2/29/04,15.807767,-0.61%
3/31/04,15.711625,1.68%
4/30/04,15.975342,-0.56%
5/31/04,15.885743,0.17%
6/30/04,15.913307,-4.58%
7/31/04,15.184281,1.78%
8/31/04,15.454079,-3.04%
9/30/04,14.983677,1.07%
10/31/04,15.144314,2.48%
11/30/04,15.519446,3.31%
12/31/04,16.033518,1.59%
1/31/05,16.288074,-0.13%
2/28/05,16.267143,-1.29%
3/31/05,16.057878,-0.63%
4/30/05,15.956489,2.33%
5/31/05,16.327734,-2.40%
6/30/05,15.935469,3.71%
7/31/05,16.526075,-1.75%
8/31/05,16.237513,0.91%
9/30/05,16.385311,0.02%
10/31/05,16.388664,0.91%
11/30/05,16.537201,-0.38%
12/31/05,16.473547,0.68%
1/31/06,16.584969,0.86%
2/28/06,16.727148,0.30%
3/31/06,16.776907,1.51%
4/30/06,17.029449,0.21%
5/31/06,17.065172,1.30%
6/30/06,17.286709,2.11%
7/31/06,17.652262,3.87%
8/31/06,18.334789,-0.55%
9/30/06,18.234205,2.28%
10/31/06,18.650471,-0.85%
11/30/06,18.491619,1.99%
12/31/06,18.859865,2.55%
1/31/07,19.340174,-1.54%
2/28/07,19.042633,1.56%
3/31/07,19.340174,3.32%
4/30/07,19.98311,1.35%
5/31/07,20.252951,-2.59%
6/30/07,19.727856,-2.25%
7/31/07,19.284369,2.36%
8/31/07,19.739321,4.01%
9/30/07,20.531826,2.10%
10/31/07,20.963499,2.75%
11/30/07,21.539047,-1.34%
12/31/07,21.251272,-5.07%
1/31/08,20.173607,-0.26%
2/29/08,20.121696,2.69%
3/31/08,20.663124,-0.22%
4/30/08,20.617025,3.04%
5/31/08,21.243366,-6.11%
6/30/08,19.94595,2.87%
7/31/08,20.519377,2.70%
8/31/08,21.073553,-1.92%
9/30/08,20.669149,-12.01%
10/31/08,18.18602,-0.21%
11/30/08,18.148323,-0.83%
12/31/08,17.997524,-6.41%
1/31/09,16.843294,-8.08%
2/28/09,15.482145,3.63%
3/31/09,16.044855,4.88%
4/30/09,16.828314,5.09%
5/31/09,17.685034,-0.56%
6/30/09,17.585585,7.47%
7/31/09,18.899488,1.22%
8/31/09,19.130726,2.58%
9/30/09,19.624027,2.18%
10/31/09,20.051355,3.68%
11/30/09,20.788826,-1.16%
12/31/09,20.548183,-0.08%
1/31/10,20.53121,3.17%
2/28/10,21.181627,3.33%
3/31/10,21.886892,-0.65%
4/30/10,21.74354,-4.63%
5/31/10,20.73624,-3.23%
6/30/10,20.067327,6.56%
7/31/10,21.384371,-1.85%
8/31/10,20.988068,5.29%
9/30/10,22.09771,3.93%
10/31/10,22.965754,-1.56%
11/30/10,22.606533,3.50%
12/31/10,23.396807,-0.61%
1/31/11,23.254883,2.91%
2/28/11,23.931271,0.67%
3/31/11,24.092318,5.95%
4/30/11,25.525127,2.51%
5/31/11,26.164875,-3.34%
6/30/11,25.290281,-0.59%
