Date,Adj Close,Total Monthly Return
1/31/99,14.44481,-2.76%
2/28/99,14.046754,-6.92%
3/31/99,13.074614,10.38%
4/30/99,14.43198,1.17%
5/31/99,14.601468,3.48%
6/30/99,15.11004,0.92%
7/31/99,15.249211,-4.78%
8/31/99,14.520503,1.76%
9/30/99,14.776329,1.30%
10/31/99,14.967931,-3.29%
11/30/99,14.475764,-2.81%
12/31/99,14.069531,-1.15%
1/31/00,13.907687,-12.15%
2/29/00,12.217367,10.10%
3/31/00,13.451673,7.34%
4/30/00,14.439033,-0.22%
5/31/00,14.407358,-4.12%
6/30/00,13.813363,2.32%
7/31/00,14.133447,3.90%
8/31/00,14.68414,12.28%
9/30/00,16.487717,6.69%
10/31/00,17.590132,-0.05%
11/30/00,17.582098,-2.79%
12/31/00,17.091261,-4.24%
1/31/01,16.366316,2.08%
2/28/01,16.705978,-2.13%
3/31/01,16.350647,5.57%
4/30/01,17.261139,0.70%
5/31/01,17.382174,-5.69%
6/30/01,16.39282,-0.19%
7/31/01,16.361616,-3.56%
8/31/01,15.778594,-1.71%
9/30/01,15.508288,-4.53%
10/31/01,14.805268,-1.26%
11/30/01,14.618336,2.41%
12/31/01,14.97084,-2.86%
1/31/02,14.543189,-0.19%
2/28/02,14.516282,4.49%
3/31/02,15.167547,-5.31%
4/30/02,14.362473,-0.83%
5/31/02,14.243101,-7.62%
6/30/02,13.157914,-13.90%
7/31/02,11.329336,3.97%
8/31/02,11.778563,-13.16%
9/30/02,10.228179,-1.11%
10/31/02,10.11438,2.91%
11/30/02,10.408272,2.02%
12/31/02,10.618983,-1.19%
1/31/03,10.492999,-5.35%
2/28/03,9.931873,3.95%
3/31/03,10.324667,9.80%
4/30/03,11.336731,10.11%
5/31/03,12.482311,0.50%
6/30/03,12.544692,-5.89%
7/31/03,11.805194,1.99%
8/31/03,12.0397,4.04%
9/30/03,12.52586,1.59%
10/31/03,12.724909,0.23%
11/30/03,12.753761,5.57%
12/31/03,13.46359,3.01%
1/31/04,13.868983,1.89%
2/29/04,14.131104,0.25%
3/31/04,14.166055,-3.49%
4/30/04,13.671019,1.20%
5/31/04,13.835449,0.85%
6/30/04,13.952906,2.40%
7/31/04,14.288315,4.06%
8/31/04,14.868859,-0.20%
9/30/04,14.839239,5.75%
10/31/04,15.691988,4.45%
11/30/04,16.390867,1.49%
12/31/04,16.635773,3.09%
1/31/05,17.150358,2.14%
2/28/05,17.518213,0.34%
3/31/05,17.57852,3.87%
4/30/05,18.258791,-0.07%
5/31/05,18.246643,5.09%
6/30/05,19.176292,3.08%
7/31/05,19.76787,0.65%
8/31/05,19.896509,3.45%
9/30/05,20.5826,-5.69%
10/31/05,19.41082,-0.16%
11/30/05,19.379957,-0.03%
12/31/05,19.373791,3.33%
1/31/06,20.01972,1.31%
2/28/06,20.281254,-5.34%
3/31/06,19.197762,2.35%
4/30/06,19.649326,1.63%
5/31/06,19.96929,1.45%
6/30/06,20.257883,5.68%
7/31/06,21.408045,2.75%
8/31/06,21.996391,-2.24%
9/30/06,21.502943,6.15%
10/31/06,22.824368,2.65%
11/30/06,23.430223,-0.05%
12/31/06,23.417459,0.55%
1/31/07,23.546616,5.30%
2/28/07,24.795048,3.04%
3/31/07,25.547985,5.48%
4/30/07,26.947535,0.46%
5/31/07,27.070459,-5.40%
6/30/07,25.608244,-3.33%
7/31/07,24.756042,1.58%
8/31/07,25.146919,3.11%
9/30/07,25.92869,7.41%
10/31/07,27.850201,0.66%
11/30/07,28.033903,-0.94%
12/31/07,27.771471,-6.64%
1/31/08,25.92717,-4.11%
2/29/08,24.862841,0.88%
3/31/08,25.080996,5.87%
4/30/08,26.553688,3.59%
5/31/08,27.505844,-1.48%
6/30/08,27.099674,-5.74%
7/31/08,25.543129,-1.10%
8/31/08,25.261408,-11.76%
9/30/08,22.289871,-12.23%
10/31/08,19.563684,4.19%
11/30/08,20.382502,-3.62%
12/31/08,19.64489,1.09%
1/31/09,19.858858,-12.53%
2/28/09,17.371359,0.79%
3/31/09,17.508417,2.29%
4/30/09,17.90967,3.56%
5/31/09,18.547073,4.18%
6/30/09,19.323046,4.95%
7/31/09,20.279129,1.00%
8/31/09,20.482342,0.34%
9/30/09,20.552406,-2.21%
10/31/09,20.099091,4.83%
11/30/09,21.069006,4.23%
12/31/09,21.961042,-3.67%
1/31/10,21.154373,-1.32%
2/28/10,20.874989,1.78%
3/31/10,21.247505,3.54%
4/30/10,22.000393,-5.52%
5/31/10,20.78618,-1.74%
6/30/10,20.424803,8.60%
7/31/10,22.181324,1.45%
8/31/10,22.502686,1.85%
9/30/10,22.918993,2.12%
10/31/10,23.404966,-3.03%
11/30/10,22.696625,1.89%
12/31/10,23.124582,2.42%
1/31/11,23.685171,1.23%
2/28/11,23.976387,-0.75%
3/31/11,23.79718,5.07%
4/30/11,25.004581,2.14%
5/31/11,25.539961,-1.15%
6/30/11,25.245878,0.08%
7/31/11,25.26708,2.17%
8/31/11,25.81554,-0.80%
9/30/11,25.609865,4.72%
10/31/11,26.817835,1.03%
11/30/11,27.094868,2.19%
12/31/11,27.687399,-2.53%
1/31/12,26.985918,0.61%
2/29/12,27.14933,0.43%
3/31/12,27.266056,2.71%
4/30/12,28.005194,0.56%
5/31/12,28.162258,3.15%
6/30/12,29.0497,3.47%
7/31/12,30.057215,-4.14%
8/31/12,28.812757,0.11%
9/30/12,28.844467,2.47%
10/31/12,29.558187,-4.28%
11/30/12,28.292551,-1.13%
12/31/12,27.972143,5.94%
1/31/13,29.632578,2.32%
2/28/13,30.321129,4.46%
3/31/13,31.673967,6.88%
4/30/13,33.852921,-9.05%
5/31/13,30.788757,-0.13%
6/30/13,30.747906,5.40%
7/31/13,32.409744,-4.99%
8/31/13,30.791744,0.19%
9/30/13,30.849543,4.77%
10/31/13,32.320507,-1.93%
11/30/13,31.695444,-0.16%
12/31/13,31.645445,4.08%
1/31/14,32.935673,3.45%
2/28/14,34.072853,2.50%
3/31/14,34.923618,5.09%
4/30/14,36.700939,-1.09%
5/31/14,36.30175,3.56%
6/30/14,37.592777,-6.00%
7/31/14,35.335663,4.92%
8/31/14,37.074604,-2.75%
9/30/14,36.055225,9.01%
10/31/14,39.30209,1.17%
11/30/14,39.760197,4.28%
12/31/14,41.462963,1.35%
1/31/15,42.024269,-6.14%
2/28/15,39.442997,-1.77%
3/31/15,38.745342,1.20%
4/30/15,39.208542,0.07%
5/31/15,39.234905,-2.96%
6/30/15,38.074741,0.70%
7/31/15,38.340923,-1.04%
8/31/15,37.941807,1.19%
9/30/15,38.394135,2.02%
10/31/15,39.168385,-2.13%
11/30/15,38.335777,1.07%
12/31/15,38.747601,6.03%
1/31/16,41.084137,1.94%
2/29/16,41.880131,7.17%
3/31/16,44.883194,-1.69%
4/30/16,44.126621,1.51%
5/31/16,44.791889,6.75%
6/30/16,47.817516,0.14%
7/31/16,47.886719,-5.54%
8/31/16,45.231449,-0.49%
9/30/16,45.010941,1.76%
10/31/16,45.802593,-5.42%
11/30/16,43.31926,3.89%
12/31/16,45.005699,2.24%
1/31/17,46.012226,5.27%
2/28/17,48.43539,-0.89%
3/31/17,48.005028,1.53%
4/30/17,48.737503,4.14%
5/31/17,50.754875,-3.49%
6/30/17,48.982605,3.26%
7/31/17,50.57745,3.29%
8/31/17,52.240555,-3.49%
9/30/17,50.415882,4.69%
10/31/17,52.782639,2.69%
11/30/17,54.199879,-6.93%
12/31/17,50.446106,-2.21%
1/31/18,49.331249,-3.88%
2/28/18,47.417538,3.00%
3/31/18,48.838326,2.83%
4/30/18,50.221001,-1.11%
5/31/18,49.665806,1.90%
6/30/18,50.610615,2.51%
7/31/18,51.879002,1.29%
8/31/18,52.547264,-1.53%
9/30/18,51.741417,2.89%
10/31/18,53.23782,3.54%
11/30/18,55.121819,-4.80%
12/31/18,52.474304,4.36%
