Date,Adj Close,Total Monthly Return
1/31/99,20.688719,0.11%
2/28/99,20.712408,2.63%
3/31/99,21.258137,3.57%
4/30/99,22.017361,-3.07%
5/31/99,21.341112,4.39%
6/30/99,22.278299,-2.98%
7/31/99,21.613983,-4.50%
8/31/99,20.64127,-1.38%
9/30/99,20.356562,5.07%
10/31/99,21.388573,1.16%
11/30/99,21.637739,8.39%
12/31/99,23.45273,-1.96%
1/31/00,22.993347,-6.54%
2/29/00,21.489918,8.99%
3/31/00,23.422897,-1.17%
4/30/00,23.14852,-2.68%
5/31/00,22.528034,0.21%
6/30/00,22.575769,-1.48%
7/31/00,22.241667,3.54%
8/31/00,23.029161,-3.63%
9/30/00,22.193941,1.51%
10/31/00,22.528034,-9.11%
11/30/00,20.475691,1.63%
12/31/00,20.80979,7.25%
1/31/01,22.318241,-1.92%
2/28/01,21.890518,-6.42%
3/31/01,20.485128,7.40%
4/30/01,22.001451,3.82%
5/31/01,22.841789,-1.17%
6/30/01,22.574406,-1.96%
7/31/01,22.132847,-5.08%
8/31/01,21.009392,-14.51%
9/30/01,17.960012,0.55%
10/31/01,18.059139,11.60%
11/30/01,20.15406,2.24%
12/31/01,20.605156,-0.57%
1/31/02,20.488487,4.60%
2/28/02,21.430576,5.75%
3/31/02,22.663713,-0.56%
4/30/02,22.535915,1.39%
5/31/02,22.850082,-7.18%
6/30/02,21.210281,-2.87%
7/31/02,20.602434,0.97%
8/31/02,20.801723,-6.48%
9/30/02,19.452753,6.16%
10/31/02,20.651087,3.09%
11/30/02,21.289227,-4.12%
12/31/02,20.412743,0.03%
1/31/03,20.419687,-2.23%
2/28/03,19.964369,3.29%
3/31/03,20.620337,3.57%
4/30/03,21.356998,2.07%
5/31/03,21.798071,4.12%
6/30/03,22.695684,-1.22%
7/31/03,22.419325,-3.70%
8/31/03,21.588982,-0.04%
9/30/03,21.581223,0.98%
10/31/03,21.793047,2.14%
11/30/03,22.260044,5.42%
12/31/03,23.466444,3.11%
1/31/04,24.196451,1.07%
2/29/04,24.454191,-4.41%
3/31/04,23.376358,3.36%
4/30/04,24.16287,-0.32%
5/31/04,24.084576,-0.65%
6/30/04,23.927971,-5.10%
