Date,Adj Close,Total Monthly Return
1/31/99,21.630901,-0.63%
2/28/99,21.49556,4.75%
3/31/99,22.516809,2.73%
4/30/99,23.132513,-4.53%
5/31/99,22.085508,6.30%
6/30/99,23.477407,-7.33%
7/31/99,21.757551,-3.85%
8/31/99,20.918819,-1.59%
9/30/99,20.585796,9.02%
10/31/99,22.443262,0.06%
11/30/99,22.455618,9.35%
12/31/99,24.555429,-12.31%
1/31/00,21.53145,-5.57%
2/29/00,20.331827,13.93%
3/31/00,23.163946,-1.89%
4/30/00,22.725866,-5.40%
5/31/00,21.499107,-5.59%
6/30/00,20.297142,1.78%
7/31/00,20.658762,-4.15%
8/31/00,19.802126,-0.13%
9/30/00,19.777292,-1.01%
10/31/00,19.577456,-2.48%
11/30/00,19.092072,6.78%
12/31/00,20.38645,11.91%
1/31/01,22.814135,-7.14%
2/28/01,21.185129,-1.66%
3/31/01,20.833771,4.85%
4/30/01,21.844393,2.38%
5/31/01,22.364489,-1.00%
6/30/01,22.140446,4.67%
7/31/01,23.174719,-8.75%
8/31/01,21.145924,-12.89%
9/30/01,18.419485,5.58%
10/31/01,19.448071,13.32%
11/30/01,22.037924,4.38%
12/31/01,23.003092,3.45%
1/31/02,23.796427,0.54%
2/28/02,23.925325,1.14%
3/31/02,24.199221,-2.67%
4/30/02,23.552174,-0.51%
5/31/02,23.431194,-5.44%
6/30/02,22.156794,-11.78%
7/31/02,19.546665,3.02%
8/31/02,20.136539,-9.03%
9/30/02,18.318434,6.88%
10/31/02,19.579224,4.63%
11/30/02,20.485369,-8.73%
12/31/02,18.697348,-3.11%
1/31/03,18.115683,-0.45%
2/28/03,18.034597,2.20%
3/31/03,18.431948,11.86%
4/30/03,20.61869,5.32%
5/31/03,21.714989,1.31%
6/30/03,21.999224,1.99%
7/31/03,22.436396,5.11%
8/31/03,23.583029,-4.90%
9/30/03,22.428267,9.24%
10/31/03,24.501419,0.90%
11/30/03,24.721268,3.72%
12/31/03,25.641392,-0.30%
1/31/04,25.564432,2.17%
2/29/04,26.11964,-0.75%
3/31/04,25.923679,-1.00%
4/30/04,25.664124,0.64%
5/31/04,25.827635,0.13%
6/30/04,25.86034,-3.67%
7/31/04,24.911995,-0.20%
8/31/04,24.862873,2.73%
9/30/04,25.542368,4.19%
10/31/04,26.612865,4.19%
